Grey,Hits
0,0.51575931232092
1,0.23209169054441
2,0.04297994269341
3,0.15759312320917
4,0.13467048710602
5,0.094555873925502
6,0.15186246418338
7,0.20630372492837
8,0
9,0.20343839541547
10,0.27220630372493
11,0.15472779369628
12,0.36962750716332
13,0.55587392550143
14,0.38681948424069
15,0.61318051575931
16,0.55300859598854
17,0.42120343839542
18,0.73638968481375
19,1
20,0.59885386819484
21,0.68194842406877
22,0.52722063037249
23,0.36676217765043
24,0.70200573065903
25,0.67621776504298
26,0.38968481375358
27,0.57879656160459
28,0.7134670487106
29,0.41833810888252
30,0.64756446991404
31,0.31805157593123
