Grey,Hits
0,0.81375358166189
1,0.70200573065903
2,0.33810888252149
3,0.52722063037249
4,0.2406876790831
5,0.28939828080229
6,0.3810888252149
7,0.26934097421204
8,0.19484240687679
9,0.5243553008596
10,1
11,0.5730659025788
12,0.47277936962751
13,0.36962750716332
14,0
15,0.24641833810888
16,0.2406876790831
17,0.031518624641834
18,0.29226361031519
19,0.189111747851
20,0.12320916905444
21,0.39541547277937
22,0.44699140401146
23,0.24355300859599
24,0.51002865329513
25,0.45845272206304
26,0.097421203438396
27,0.34383954154728
28,0.35243553008596
29,0.10601719197708
30,0.47277936962751
31,0.43266475644699
