Grey,Hits
0,0.47368421052631
1,0.42936288088642
2,0.13573407202216
3,0.29639889196676
4,0.22714681440443
5,0.14681440443213
6,0.1994459833795
7,0.22714681440443
8,0.085872576177285
9,0.26592797783933
10,0.39058171745152
11,0.28254847645429
12,0.6398891966759
13,1
14,0.52631578947368
15,0.2382271468144
16,0.18836565096953
17,0
18,0.16620498614958
19,0.23545706371191
20,0.074792243767313
21,0.26315789473684
22,0.26869806094183
23,0.11634349030471
24,0.33518005540166
25,0.18836565096953
26,0.088642659279778
27,0.33795013850415
28,0.25207756232687
29,0.15512465373961
30,0.398891966759
31,0.3185595567867
