Grey,Hits
0,0.13142857142857
1,0.008
2,0.008
3,0.012571428571429
4,0.020571428571428
5,0.0034285714285714
6,0.0034285714285714
7,0.010285714285714
8,0
9,0.0022857142857143
10,0.0045714285714285
11,0.010285714285714
12,0.018285714285714
13,0.044571428571428
14,0.030857142857143
15,0.041142857142857
16,0.059428571428571
17,0.028571428571428
18,0.038857142857143
19,0.045714285714285
20,0.045714285714285
21,0.070857142857142
22,0.052571428571428
23,0.056
24,0.077714285714285
25,0.077714285714285
26,0.067428571428571
27,0.11771428571429
28,0.17942857142857
29,0.20114285714286
30,0.58971428571428
31,1
