Grey,Hits
0,0.38855054811206
1,0.034104750304506
2,0.010962241169306
3,0.020706455542022
4,0.0085261875761266
5,0
6,0.020706455542022
7,0.0097442143727161
8,0.0073081607795371
9,0.013398294762485
10,0.0097442143727161
11,0.0073081607795371
12,0.02436053593179
13,0.040194884287454
14,0.013398294762485
15,0.028014616321559
16,0.032886723507917
17,0.017052375152253
18,0.026796589524969
19,0.029232643118148
20,0.017052375152253
21,0.056029232643118
22,0.077953714981729
23,0.068209500609013
24,0.1388550548112
25,0.18757612667479
26,0.14007308160779
27,0.26918392204628
28,0.39951278928136
29,0.31668696711327
30,1
31,0.97076735688185
