Grey,Hits
0,1
1,0.044047619047619
2,0.0071428571428571
3,0.046428571428571
4,0.079761904761904
5,0.039285714285714
6,0.12023809523809
7,0.17261904761905
8,0.17619047619047
9,0.72142857142856
10,0.4297619047619
11,0.094047619047618
12,0.10952380952381
13,0.057142857142857
14,0
15,0.029761904761904
16,0.042857142857142
17,0.0071428571428571
18,0.035714285714285
19,0.05595238095238
20,0.029761904761904
21,0.069047619047618
22,0.074999999999999
23,0.041666666666666
24,0.088095238095237
25,0.12738095238095
26,0.095238095238094
27,0.2
28,0.30952380952381
29,0.34642857142857
30,0.88333333333332
31,0.92738095238094
