Grey,Hits
0,0.027777777777778
1,0.30277777777778
2,0.036111111111111
3,0.31666666666667
4,0.041666666666666
5,0.016666666666667
6,0.022222222222222
7,0.025
8,0.011111111111111
9,0.038888888888889
10,0.022222222222222
11,0.019444444444444
12,0.044444444444444
13,0.025
14,0.022222222222222
15,0.66666666666666
16,0
17,0.0055555555555555
18,0.0083333333333333
19,1
20,0.43611111111111
21,0.044444444444444
22,0.044444444444444
23,0.044444444444444
24,0.069444444444444
25,0.036111111111111
26,0.030555555555555
27,0.05
28,0.047222222222222
29,0.019444444444444
30,0.11111111111111
31,0.036111111111111
